Numero de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 235132
Palabra: affordable Frec: 47 LogProb: -8.599656045095568
Palabra: afloat Frec: 7 LogProb: -10.391415514323622
Palabra: afraid Frec: 22 LogProb: -9.335362840074309
Palabra: afternoon Frec: 17 LogProb: -9.580485298107295
Palabra: ag Frec: 7 LogProb: -10.391415514323622
Palabra: age Frec: 49 LogProb: -8.558834050575312
Palabra: aged Frec: 11 LogProb: -9.985950406215458
Palabra: agencies Frec: 30 LogProb: -9.036869851518311
Palabra: agency Frec: 15 LogProb: -9.698268333763677
Palabra: agent Frec: 6 LogProb: -10.524946906948145
Palabra: agents Frec: 9 LogProb: -10.168271963009413
Palabra: ages Frec: 4 LogProb: -10.861419143569359
Palabra: ago Frec: 103 LogProb: -7.826466156862086
Palabra: agree Frec: 55 LogProb: -8.445505365268309
Palabra: agreed Frec: 38 LogProb: -8.807295409873813
Palabra: agreement Frec: 13 LogProb: -9.8317997263882
Palabra: agrees Frec: 4 LogProb: -10.861419143569359
Palabra: agri Frec: 4 LogProb: -10.861419143569359
Palabra: agricultural Frec: 15 LogProb: -9.698268333763677
Palabra: agriculture Frec: 18 LogProb: -9.526418076837018
Palabra: ahead Frec: 43 LogProb: -8.686667422085197
Palabra: ai Frec: 10 LogProb: -10.072961783205088
Palabra: aid Frec: 33 LogProb: -8.944496531387298
Palabra: aids Frec: 4 LogProb: -10.861419143569359
Palabra: aim Frec: 9 LogProb: -10.168271963009413
Palabra: aimed Frec: 10 LogProb: -10.072961783205088
Palabra: aiming Frec: 4 LogProb: -10.861419143569359
Palabra: aims Frec: 8 LogProb: -10.273632478667238
Palabra: air Frec: 43 LogProb: -8.686667422085197
Palabra: airborne Frec: 6 LogProb: -10.524946906948145
Palabra: airline Frec: 8 LogProb: -10.273632478667238
Palabra: airlines Frec: 32 LogProb: -8.974349494536979
Palabra: airport Frec: 14 LogProb: -9.762806854901248
Palabra: airports Frec: 4 LogProb: -10.861419143569359
Palabra: aisle Frec: 44 LogProb: -8.664194566233139
Palabra: aisles Frec: 54 LogProb: -8.463523870770988
Palabra: aka Frec: 9 LogProb: -10.168271963009413
Palabra: al Frec: 9 LogProb: -10.168271963009413
Palabra: alarming Frec: 5 LogProb: -10.679097586775404
Palabra: alcohol Frec: 168 LogProb: -7.340958341080385
