Numero de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 201014
Palabra: ago Frec: 80 LogProb: -7.93610404796184
Palabra: agree Frec: 39 LogProb: -8.641673748520343
Palabra: agreed Frec: 20 LogProb: -9.286030764910857
Palabra: agreement Frec: 6 LogProb: -10.384643053578966
Palabra: agricultural Frec: 21 LogProb: -9.239510749275963
Palabra: agriculture Frec: 25 LogProb: -9.072456664612798
Palabra: ahead Frec: 52 LogProb: -8.360261289082157
Palabra: ai Frec: 6 LogProb: -10.384643053578966
Palabra: aid Frec: 27 LogProb: -8.998348692459075
Palabra: aiding Frec: 4 LogProb: -10.72111529020018
Palabra: aim Frec: 7 LogProb: -10.251111660954443
Palabra: aimed Frec: 4 LogProb: -10.72111529020018
Palabra: air Frec: 41 LogProb: -8.592883584350911
Palabra: airborne Frec: 4 LogProb: -10.72111529020018
Palabra: airline Frec: 9 LogProb: -10.027968109640234
Palabra: airlines Frec: 19 LogProb: -9.334820929080289
Palabra: aisle Frec: 56 LogProb: -8.287501934799728
Palabra: aisles Frec: 49 LogProb: -8.418530197206133
Palabra: al Frec: 5 LogProb: -10.538793733406225
Palabra: alarm Frec: 6 LogProb: -10.384643053578966
Palabra: alarming Frec: 6 LogProb: -10.384643053578966
Palabra: alcohol Frec: 66 LogProb: -8.125860583243313
Palabra: alert Frec: 25 LogProb: -9.072456664612798
Palabra: alerts Frec: 4 LogProb: -10.72111529020018
Palabra: alike Frec: 6 LogProb: -10.384643053578966
Palabra: alive Frec: 14 LogProb: -9.622503001532069
Palabra: allegations Frec: 8 LogProb: -10.13332862529806
Palabra: alleged Frec: 5 LogProb: -10.538793733406225
Palabra: allegedly Frec: 33 LogProb: -8.804192678018119
Palabra: alleging Frec: 4 LogProb: -10.72111529020018
Palabra: allergies Frec: 12 LogProb: -9.765603845172743
Palabra: alleviate Frec: 5 LogProb: -10.538793733406225
Palabra: allies Frec: 6 LogProb: -10.384643053578966
Palabra: allow Frec: 49 LogProb: -8.418530197206133
Palabra: allowance Frec: 4 LogProb: -10.72111529020018
Palabra: allowed Frec: 71 LogProb: -8.053887083618225
Palabra: allowing Frec: 46 LogProb: -8.480405600924222
Palabra: allows Frec: 7 LogProb: -10.251111660954443
Palabra: alongside Frec: 6 LogProb: -10.384643053578966
Palabra: alot Frec: 5 LogProb: -10.538793733406225
Palabra: alright Frec: 5 LogProb: -10.538793733406225
Palabra: altered Frec: 4 LogProb: -10.72111529020018
Palabra: alternative Frec: 15 LogProb: -9.557964480394498
Palabra: alternatives Frec: 7 LogProb: -10.251111660954443
Palabra: altogether Frec: 5 LogProb: -10.538793733406225
Palabra: aluminium Frec: 4 LogProb: -10.72111529020018
Palabra: amazing Frec: 9 LogProb: -10.027968109640234
Palabra: amazon Frec: 16 LogProb: -9.497339858578062
Palabra: amend Frec: 5 LogProb: -10.538793733406225
Palabra: amid Frec: 441 LogProb: -6.239243320556581
Palabra: amidst Frec: 36 LogProb: -8.719635289990055
Palabra: ammo Frec: 15 LogProb: -9.557964480394498
Palabra: ammunition Frec: 5 LogProb: -10.538793733406225
Palabra: amounts Frec: 20 LogProb: -9.286030764910857
Palabra: amp Frec: 1903 LogProb: -4.778840987282969
Palabra: ample Frec: 8 LogProb: -10.13332862529806
Palabra: analysis Frec: 39 LogProb: -8.641673748520343
Palabra: analyst Frec: 15 LogProb: -9.557964480394498
Palabra: analysts Frec: 16 LogProb: -9.497339858578062
Palabra: analytics Frec: 4 LogProb: -10.72111529020018
Palabra: angry Frec: 30 LogProb: -8.896565998149132
Palabra: animal Frec: 19 LogProb: -9.334820929080289
Palabra: animals Frec: 20 LogProb: -9.286030764910857
Palabra: announce Frec: 9 LogProb: -10.027968109640234
Palabra: announced Frec: 75 LogProb: -7.999819862347948
Palabra: announcement Frec: 19 LogProb: -9.334820929080289
Palabra: announcements Frec: 7 LogProb: -10.251111660954443
Palabra: announces Frec: 10 LogProb: -9.932657929835909
Palabra: announcing Frec: 6 LogProb: -10.384643053578966
Palabra: annoyed Frec: 7 LogProb: -10.251111660954443
Palabra: annoying Frec: 13 LogProb: -9.69149587301902
Palabra: annual Frec: 8 LogProb: -10.13332862529806
Palabra: answer Frec: 31 LogProb: -8.864817299834552
Palabra: answered Frec: 10 LogProb: -9.932657929835909
Palabra: answering Frec: 4 LogProb: -10.72111529020018
Palabra: answers Frec: 10 LogProb: -9.932657929835909
Palabra: anti Frec: 41 LogProb: -8.592883584350911
Palabra: antibacterial Frec: 7 LogProb: -10.251111660954443
Palabra: anticipate Frec: 8 LogProb: -10.13332862529806
Palabra: anticipating Frec: 6 LogProb: -10.384643053578966
Palabra: anticipation Frec: 5 LogProb: -10.538793733406225
